,Crate,Label,width,Length,x,y,Rotation,Zone,Double Stack
0,33,118681.0,1.95,1.75,2.72,12.77,False,ZONE B,No
1,55,123815.0,2.8,1.85,14.27,11.8,False,ZONE B,No
2,3,1082440001.0,4.3,2.6,25.27,10.3,False,ZONE B,No
3,15,110987.0,1.3,2.22,0.0,13.26,True,ZONE B,No
4,2 x 1,108300000.1 x 109845.0,1.9,1.7,11.87,12.2,False,ZONE B,Yes
5,57,123819.0,2.1,1.75,9.42,12.16,False,ZONE B,No
6,47,124566.0,2.1,1.75,7.17,12.16,False,ZONE B,No
7,66,126815.0,2.1,1.7,4.97,12.16,False,ZONE B,No
8,35,119657.0,2.43,2.45,16.62,11.75,False,ZONE B,No
9,21 x 16,114679.0 x 110980.0,2.8,1.95,22.62,10.75,False,ZONE B,Yes
10,53,124569.0,3.0,2.35,19.57,10.55,False,ZONE B,No
11,14,110979.0,1.97,1.55,0.0,10.79,False,ZONE B,No
12,42,123496.0,1.8,1.85,2.05,10.47,False,ZONE B,No
13,51,124568.0,1.75,2.1,7.42,9.91,True,ZONE B,No
14,13,110977.0,1.35,2.52,4.4,10.31,True,ZONE B,No
15,28 x 27,118006.0 x 118007.0,1.35,2.1,10.22,9.95,True,ZONE B,Yes
16,59,123565.0,1.75,2.9,13.02,9.55,True,ZONE B,No
17,43,123494.0,2.4,2.45,16.42,8.85,False,ZONE B,No
18,7,110986.0,1.97,1.55,0.0,8.32,False,ZONE B,No
19,58,123820.0,3.0,2.35,22.22,7.05,False,ZONE B,No
20,54,123742.0,2.9,2.35,19.37,7.15,False,ZONE B,No
21,65 x 64,123546.0 x 123545.0,1.25,1.3,2.25,8.52,False,ZONE B,Yes
22,23,118277.0,1.81,1.85,4.25,8.0,False,ZONE B,No
23,31 x 25,117443.0 x 117444.0,2.8,2.05,25.27,6.8,False,ZONE B,Yes
24,61,123567.0,1.45,2.4,6.6,7.96,True,ZONE B,No
25,39 x 38,121444.0 x 121441.0,1.15,2.2,9.7,7.9,True,ZONE B,Yes
26,56,123741.0,2.9,1.75,12.6,6.15,False,ZONE B,No
27,24,117450.0,2.45,2.4,14.85,5.9,False,ZONE B,No
28,17,110989.0,1.97,1.3,2.05,5.85,False,ZONE B,No
29,6,110988.0,1.97,1.55,0.0,5.85,False,ZONE B,No
30,40,123549.0,1.65,2.0,3.85,5.85,True,ZONE B,No
31,20,115380.0,1.75,1.95,6.35,5.71,True,ZONE B,No
32,30,117442.0,1.75,2.2,8.8,5.45,True,ZONE B,No
33,46,124572.0,2.9,2.35,17.75,3.75,False,ZONE B,No
34,60,123566.0,2.9,2.35,20.6,3.65,False,ZONE B,No
35,63,123498.0,3.0,2.35,23.45,3.1,False,ZONE B,No
36,45,124571.0,2.9,1.75,11.5,2.75,False,ZONE B,No
37,10 x 9,110978.0 x 110982.0,2.19,3.6,26.5,3.2,True,ZONE B,Yes
38,41,123547.0,2.9,1.95,13.75,2.5,False,ZONE B,No
39,12,111037.0,1.75,1.5,2.3,3.6,False,ZONE B,No
40,36,119659.0,1.6,1.8,0.0,3.75,False,ZONE B,No
41,22,114680.0,1.61,2.05,4.3,3.6,True,ZONE B,No
42,26,117445.0,2.2,1.75,6.85,2.75,False,ZONE B,No
43,19,114943.0,2.05,1.9,9.1,2.75,False,ZONE B,No
44,18,114942.0,3.25,2.11,16.2,0.0,False,ZONE B,No
45,11,110985.0,1.3,1.5,0.0,1.95,False,ZONE B,No
46,52,124576.0,3.15,2.35,18.81,0.0,False,ZONE B,No
47,37,119927.0,1.2,2.05,2.0,1.9,True,ZONE B,No
48,48,124567.0,2.6,3.0,21.66,0.0,True,ZONE B,No
49,49 x 44,124574.0 x 124573.0,2.3,2.8,25.36,0.0,True,ZONE B,Yes
50,62,123497.0,2.35,1.75,4.55,0.0,False,ZONE B,No
51,5 x 8,110981.0 x 110983.0,2.05,1.65,9.35,0.0,False,ZONE B,Yes
52,29 x 4,118008.0 x 110984.0,2.05,1.45,7.0,0.0,False,ZONE B,Yes
53,50,124575.0,2.0,2.9,11.7,0.0,True,ZONE B,No
54,34,119654.0,1.45,1.35,0.0,0.0,False,ZONE B,No
55,32,119655.0,1.4,1.7,1.85,0.0,True,ZONE B,No
